1964705707,@Bill_Nye why so quiet lately?,,,,,,,,
1964705712,@RealJessicaAlba Is it true there won't be any Fantastic 4 sequels?  I wished they introduced a Franklin Richards character... will they?,,,,,,,,
1964705883,Okay, whats up with twitter,, :/ my laptop is completely broke, and now my computer is acting up   so I dont reckon I will be on for t ...,,,,
1964706362,Feels all kinds of not so well right now,,,,,,,,
1964706519,Going on 1,116 days still no new tattoo.,,,,,,,
1964706702,is confused,,,,,,,,
1964706720,God damn you Twitter!!!!!!!!!!!!!! Stop eating my undeleted DMs!!!!!!!!!!!!!!!!!!!!!!!!!!,,,,,,,,
1964706838,@leprakhauns when you haven't had one in over a week! that was a really mean joke he just played on me!,,,,,,,,
1964707016,Is getting excited for the weekend.......Or, hang on, i am going to be all alone   never mind, excitement lost,,,,,
1964707367,@greasemusical Hi, I hope Ray is o.k. Please give him our love and hope he returns soon. Hope its not too bad,,,,,,,
1964707482,Damn everyones nappin on the beach. I wake up and half the crew is ko'd lol aww i wish i had a cuddy buddy tho,,,,,,,,
1964708004,@BitterTea ugh but they are so unattractive! u might as well drink from a regular glass. i really dont like them,,,,,,,,
1964708377,@Nairtseuqe so my son is not the only one!  that's really nice to know.  he really is good at being three. and dh will be late today,,,,,,,,
1964708580,thank/ u guys so so much for helping me out on the followers thing! but im probably not gonna win cause i dont have 100 followers yet!,,,,,,,,
1964708969,@NLtommy nope  don't think I will. Thnx for asking lol I will be fine,,,,,,,,
1964709099,@jenhp But that is such a bummer you couldn't get your book signed. Sigh ...,,,,,,,,
1964709182,Here's almost 1 AM and I'm staying with my open window...otherwise I'd suffocate myself.  It's way too warm! Ah ~ I so much miss rains !,,,,,,,,
1964709381,@travisricejr Because the ferry that was supposed to take us out changed their schedule. So now I have to fly out on June 30 on a red eye,,,,,,,,
1964709450,@One_Bloody_Poet What's the matter?,,,,,,,,
1964710138,Work soon. Lame going to miss the @Lakers  Go Lakers! Hope you win!!!!,,,,,,,,
1964710421,I need a Xanax and have none,,,,,,,,
1964710454,@DAEONE haha wtf is that! You don't want me to leave,,,,,,,,
1964710819,Computer pissing me off. 4 gig ram 2.5ghz Dual core and vista freezes...fuck you microsoft...i want win 7,,,,,,,,
1964710833,IN PAIN. my big toe got stamped on during the hokey cokey. it hurts so much! anyone have any suggestions to help with it?,,,,,,,,
1964711228,Latest: Saw Animal Collective in Oakland and they were AMAZING! Now, I am trying to clean my room,,,,,,,
1964711444,I h8 this weather!! It's the be gloomy &amp; rainy all weekend,,,,,,,,
1964711804,@like_an_emo es tut mir leid?,,,,,,,,
1964711820,http://twitpic.com/67l90 - @lunawoodcock girrrrrrrrlll i'm going to miss you so bad!!!!,,,,,,,,
1964711922,Was eating a tomato and it squirted all over me.,,,,,,,,
1964712204,0,,,,,,,,
1964712318,@theAV8TR dont quit.,,,,,,,,
1964712550,bout to take a shower.... a cold shower,,,,,,,,
1964712906,...celebrated by spilling half my soup. Hello, 40 calorie lunch.    Can it be the weekend now, please?,,,,,,
1964713044,I don't wanna be a fatass when I go to Europe. Need to eat right but it's so difficult,,,,,,,,
1964713319,@RavenLaR S'ok, trying to plot alternatives as we speak *sigh*,,,,,,,
1964713679,so tired!,,,,,,,,
1964713761,@Terrellbrw No money... and No Car...,,,,,,,,
1964713965,I think my modem failed-having pc withdrawals..,,,,,,,,
1964714091,I can't sleep... And now????,,,,,,,,
