1960161991,after show at our house rocked! saying goodbye soon
1960162032,my to do list is bananas before i leave for Europe BOOOO
1960162423,HES BACK!!!!! OH NOES!!!! have you missed me?  Work has been insane and the band has really taken off so i haven't had a moment to myself
1960163033,NO! Our TV's busted  The screen turned white for about a nanosecond while it made a quick &quot;popping&quot; sound.
1960163075,I'm a fat and sad puffyn now
1960164268,@MCRmuffin i couldn't be there for her last night cause i fell asleep like a retard.  agh.
1960164604,enjoying and exploring my n96 phone.. grr.. it's awesome.. but i wanted the samsung omnia..
1960164777,Very lonely here in Gosforth gallery  but excited for meal at Six followed by Antony and the Johnsons tonight. Woohoo!!
1960165478,The internetz is busy this Friday morning: Google Wave Hulu Desktop
1960165500,Sore throat. This is not good. I have four performances this weekend.
1960165822,i never get any followfridays
1960166165,@xkaraxcupcakex  I'm sorry. This is all so sad.
1960166403,Oh hell I forgot the non-alcoholic cider for Monday's dinner. MPP is teetotaler. Now must drive to Waupoos. Have 7 cases of wine in car.
1960166730,On my way to the burial
1960167127,@Laura_McKay2009 sadly no sitting inside as mobile signal won't work in the garden   I'll be opening the wine at bang on 5pm though!
1960167394,suffering benadryl hangover this morning and a killer headache.... ugh!
1960167488,Garden going well almost all the corn and peas are up
1960167902,Good Morning Twitts! Another GloOmy day in NYC!
1960168026,@bdule the installer is crashing towards the end of the installation
1960168132,Is off to meet my folks after a while...gonna b a working weekend too
1960168291,@jenisus aww  I have to go to class on that day... So imma do some weird half day thing just cause I wanna see what it's about
1960168482,@gprado Awww I HATE that one!!
1960168502,@pixls hahahahhahaha it was true! and i could really stretch out and stuff! shame rem's dog got mad when i tried to put him in avi's face
1960168536,@garrulous_gal of course! *cough* I mean no
1960168797,@xjaded25x not helping!
1960168925,dev.java.net : the slowest website
1960169021,@iamepiclyamazin bahah. but....nick..
1960169342,My back is killing me...  It won't keep me from dropping it low...hope I got someone to pick it back up tho... LOL
1960169489,@Andre_Mitchell i've never been to the opera before...don't think that was me
1960169610,Attending Matthew's Senior Day for recognition and I'm so not ready for this.
1960169784,@KinanLW I live in the Philippines. &gt;.&lt; and honestly i wanna live somewhere with snow!!
1960170610,has a headache already?  boo
1960170962,Stuck in office till 5. It's so warm outside
1960190407,@dwhelan I've wondered about rake to.  The client has made it clear .NET only don't force devs to learn a new lang  #agile #ccnet
1960190470,My ancient iPod is nearing death
1960190630,sorry paul scheuring but prison break series finale sucked... in so many levels
1960191045,Yay !!!! It's firday.... Have a good one everyone. On my way to work    Lot's of work pending.
