1957020624,Work day 7 of 7
1957020702,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks
1957020861,I looove guitars and playing them. I think they sound magnificent. If only i was better... If only
1957021039,@SuperJerry No refunds but they do retrieve accounts takes like a week. Just hoping the thief doesn't use hacks or then it's permaban
1957021224,@mysticnz no im not  cries LOL
1957021305,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL
1957021321,@Gurlstrange EpiCentre Wheelock Place 250 units &amp; for tourists only. Starting today
1957021486,I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.
1957021631,Come on Knight... It's been well over 4 hours
1957022610,not super keen on the drive home through the rain.. additional concentration required that i don't really wanna deal with
1957022799,@FoxxFiles aw u can't let me in on the secret!
1957023061,@freshypanda Im sorry  I don't think I stick out at least compared to what I used to look like.
1957023133,no transport for church  wont be making it im crushed. Oh well more time for assignments I suppose. My throat really hurts ...
1957023263,i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately the baby is the one who suffers.
1957023739,Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!
1957023842,twittascope is NOT rocking my socks - go away already!!
1957023917,Driving Back home because I forgot the piece of cake for @v_era
1957024334,@seemouserun so I tried jumping without the trampoline and its like thud* thud*  shouldn't have eaten that cookie.  http://myloc.me/1XIz
1957025428,Everytime I send an email to my coach I feel a need to practice.   shitty balls.  Lol
1957026475,It's pissing me off and not letting me follow ericka
1957027495,Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....
1957027630,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.
1957027687,@koifusionpdx i was so close to the tacos...one spot too late
1957027841,@msz_rockstar umm how bout em?..aint get 2 see da game  but i see dey survived anotha game of da series due to notin but Lebron im guessin
1957028656,is thinking so much and i'm at work
1957028775,I have forgot the live with the Jonas Brothers on Facebook
1957028895,I haven't seen Muffin in two whole days!
1957029111,@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...
1957029634,my gap year is going so quick
1957029641,I have to admit I'm a bit bummed out that I wasn't with my friends walking today....
1957029899,@jennyvokals girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home
1957030196,my twitter has been hacked again
1957030545,Just found mj mouse flats at DJs. Of course there are none left in my size
1957030596,@passingcarss i wont have time to buy  and i need a new binder pa
1957030622,@lanacaitlin  hahaha well its try its so ugly
1957030793,25-man Ulduar is hard...
1957031520,@jmoriarty I don't even want to know WHY you know about VHEMT but don't go - we'd miss you
1957031859,@OooChelcyooO That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.  I should be a lot of fun though
1957032014,night night twitter world. [still cant believe the thomas thing  tomorrow's gunna be FUN/SAD]
1957032051,@princess_oats this is happening to me too
1957032114,@qi_tah oh no.  *hugs*
1957032127,@oxygen8705 bored now because i was talking to someone but now they're busy with something else  just kinda a bummer idk
1957032228,@xoshayzers i knoww  things won't be the samee &lt;/3
1957032539,OMG-ness it's 11:18 pm and I need to beup early to set up my garage sale it starts a 8am wish I said 9am. I'm beat.
1957033043,@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me
1957033103,Okay so twitter suddenly changed how do I respond to messages now
1957033219,ugh.. my dad just told me to read an article about Kavya Shivashankar the spellin bee girl..and be more like her.
1957033558,Decided that no matter how good my hair looks curly it doesn't justify the burn I get from the curler! My hands covered  I suck at it!
1957033776,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck
1957033815,@ThaBillCollecta  YEA     I GOTTA BE UP AT 7:30
1957033874,I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.
1957033901,sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend
1957034202,I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu
1957034289,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!
1957034434,Not one sale done today at work. Explored balconies in the big theater w coworkers. A fun day but void of chili fries and tips
1957034566,@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...
1957034940,@sillybabyjulie me too
1957034983,@digenis that story reminds of living in Portugal
